,netflix_id,amazon_id,disney_id,en_title,title,orig_lang,release_year,duration,score,genre,overview,rating_score
2384,-,s9660,-,10 Things I Hate About You,10 Things I Hate About You,English,1999,97,76.0,"['Comedy', 'Romance', 'Drama']","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",Good
2385,-,-,s708,Not Known,Not Known,English,1999,98,76.0,"['Comedy', 'Romance', 'Drama']","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",Good
2389,s5982,-,-,"10,000 BC","10,000 BC",English,2008,109,54.0,"['Adventure', 'Action', 'Drama', 'Fantasy']",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,Bad
2393,-,s4540,-,10.0 Earthquake,100 Earthquake,English,2014,87,50.0,"['Drama', 'Adventure', 'Action']","Los Angeles is about to be hit by a devastating earthquake, and time is running out to save the city from imminent danger.",Bad
2413,-,-,s711,102 Dalmatians,102 Dalmatians,English,2000,104,55.0,"['Family', 'Comedy']","Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",Average
2426,-,s3561,-,12 Rounds 3: Lockdown,12 Rounds 3 Lockdown,English,2015,90,59.0,"['Action', 'Thriller', 'Crime']","Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.",Average
2451,-,s3943,-,1492: Conquest of Paradise,1492 Conquest of Paradise,English,1992,150,62.0,"['Action', 'Adventure', 'Drama', 'History']",1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,Average
2519,s5993,-,-,16 Blocks,16 Blocks,English,2006,102,64.0,"['Action', 'Adventure', 'Crime', 'Thriller']","An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",Average
2522,s5994,-,-,17 Again,17 Again,English,2009,102,63.0,['Comedy'],"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",Average
2530,s5208,-,-,1922,1922,English,2017,103,59.0,"['Horror', 'Crime', 'Drama']","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",Average
2540,s775,-,-,2 Hearts,2 Hearts,English,2020,101,75.0,"['Romance', 'Drama']","When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",Good
2552,s1114,-,-,2012,2012,English,2009,158,58.0,"['Action', 'Adventure', 'Science Fiction']","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",Average
2561,s6000,-,-,20th Century Women,20th Century Women,English,2016,119,73.0,['Drama'],"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",Good
